Extrapolator Errors:
WARNING 1: for trapNumber['2025'] different geoLocation values (1) '10.1425066,76.2097066' (2) '10.1312825,76.1948562'
WARNING 2: for trapNumber['2011'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1322442,76.3333166'
WARNING 3: for trapNumber['2011'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1322442,76.3333166'
WARNING 4: for trapNumber['2009'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1322442,76.3333166'
WARNING 5: for trapNumber['2010'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1322442,76.3333166'
WARNING 6: for trapNumber['2010'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1324504,76.3331633'
WARNING 7: for trapNumber['2012'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1324506,76.3331634'
WARNING 8: for trapNumber['2011'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1324508,76.3331634'
WARNING 9: for trapNumber['2009'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1324504,76.3331633'
WARNING 10: for trapNumber['2010'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.132456,76.3331553'
WARNING 11: for trapNumber['2011'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1324561,76.3331554'
WARNING 12: for trapNumber['2012'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.132456,76.3331553'
WARNING 13: for trapNumber['2009'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1324578,76.3331571'
WARNING 14: for trapNumber['2012'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1277175,76.334893'
WARNING 15: for trapNumber['2011'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1277175,76.334893'
WARNING 16: for trapNumber['2010'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1277175,76.334893'
WARNING 17: for trapNumber['2009'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1277175,76.334893'
WARNING 18: for trapNumber['2012'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1321871,76.3330477'
WARNING 19: for trapNumber['2011'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.132187,76.3330479'
WARNING 20: for trapNumber['2010'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1321877,76.3330478'
WARNING 21: for trapNumber['2009'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1321863,76.3330476'
WARNING 22: for trapNumber['2011'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1252122,76.3342038'
WARNING 23: for trapNumber['2009'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1252122,76.3342038'
WARNING 24: for trapNumber['2012'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1252199,76.334241'
WARNING 25: for trapNumber['2009'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1252122,76.3342038'
WARNING 26: for trapNumber['2010'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1252199,76.334241'
WARNING 27: for trapNumber['2012'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1324948,76.3329159'
WARNING 28: for trapNumber['2011'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1324948,76.3329159'
WARNING 29: for trapNumber['2010'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.1324947,76.3329157'
WARNING 30: for trapNumber['2009'] different geoLocation values (1) '10.1322535,76.3332827' (2) '10.132495,76.3329159'
WARNING 31: for trapNumber['1031'] different geoLocation values (1) '9.9457299,76.2546103' (2) '9.945822,76.2538943'
WARNING 32: for trapNumber['1031'] different geoLocation values (1) '9.9457299,76.2546103' (2) '9.945822,76.2538943'
WARNING 33: for trapNumber['1063'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9208038,76.2800265'
WARNING 34: for trapNumber['1062'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9208038,76.2800265'
WARNING 35: for trapNumber['1061'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9208038,76.2800265'
